State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,786059,334835,452083,270272,444161,71277,391057,355990,5683,6816,302,13071,14432,48677,356645,156899,136497,83181,23540,750600,34502,-,-,43312,174859,253181
Alaska,64106,31601,32754,23579,38235,2197,29555,2325,20468,3464,1145,931,6393,4340,27850,6504,11845,8955,3009,59436,4621,-,-,2884,22742,15028
Arizona,934877,427868,504835,342790,525563,66595,632049,50438,90901,20296,1625,109173,27147,431902,331337,155534,130939,116897,44242,733926,199634,-,-,60982,206647,291883
Arkansas,502343,219288,282894,182354,275015,45155,314084,144130,4175,4083,1800,20247,13321,50288,288180,88369,92433,55731,12923,475421,27695,-,-,32854,115530,145006
California,4915154,2252122,2667137,1752191,2819552,344950,2636667,437722,56099,491716,16871,1114889,170353,2628686,1228513,979551,616496,554628,302425,3330182,1597318,-,-,312993,1108579,1601805
Colorado,582343,268413,316532,192072,348983,41944,431847,42025,9796,14112,652,65670,21928,232660,277364,82123,81460,77057,44595,481699,101098,-,-,40426,178690,149093
Connecticut,316011,136684,176803,99567,185029,30841,176630,62663,1241,9536,91,51662,11257,105638,132164,54496,57289,35556,22637,264727,48807,-,-,13693,80050,101477
Delaware,94160,39329,54367,32860,52499,8665,50680,33805,675,2194,6,3755,2870,15114,40529,14367,17407,9658,4853,84688,9557,-,-,5186,23136,26972
Florida,2498773,1107103,1388757,769372,1431112,303699,1580042,680581,11410,50560,1826,124512,57822,719872,1029263,432781,480975,317330,158354,1926769,572181,-,-,157321,563159,791810
Georgia,1445153,628397,816670,521231,811787,110952,616333,660396,5263,31848,1113,104399,25208,215621,515087,266962,241103,140273,60641,1279927,169780,-,-,93209,317224,453423
Hawaii,124696,55538,69231,36428,74714,13629,32607,1863,621,32637,22819,2099,31970,15172,29353,14241,23664,20416,11659,98136,26937,-,-,7163,29837,41743
Idaho,203535,90368,112461,70156,118595,14287,176758,2207,4838,2795,347,7867,7778,41299,147215,24002,31479,29424,10140,183096,19835,-,-,14788,64822,45838
Illinois,1567438,692790,884440,550823,892173,130666,795171,499982,4400,57241,324,174295,37519,347722,641333,245548,252144,187759,93077,1340307,237018,-,-,92333,377506,477062
Indiana,839673,368928,472451,297616,483356,59926,604894,154453,2677,17066,265,37565,28376,89573,558138,123875,153273,91981,30628,784253,58761,-,-,44986,229722,238730
Iowa,338285,148376,190366,104979,199970,32455,276732,27147,2508,6565,364,10785,13255,32299,258617,38772,59884,45633,14494,315925,21441,-,-,20237,116825,73905
Kansas,337922,150471,187909,113895,195862,28195,249072,39605,5333,8335,119,19881,16864,64842,209647,43249,53962,42374,16303,303674,34312,-,-,25201,101483,79803
Kentucky,735803,324642,410716,242912,424606,68124,598035,96218,2368,5725,442,12413,19664,35171,580113,161111,134268,74483,20799,709187,27181,-,-,36259,165725,246644
Louisiana,778748,322814,457280,285524,428847,65989,306057,433243,6967,10675,326,9773,14241,32407,286491,145048,138188,71114,24369,755170,26195,-,-,51281,168015,236945
Maine,162790,70097,92468,46716,96920,18800,145921,5592,2360,2120,99,1290,4530,4115,144737,22987,38285,21729,9089,154929,7065,-,-,7051,44334,50895
Maryland,477912,203157,271095,146108,277872,51682,202848,212298,2069,21025,302,23177,13693,51482,180514,81636,85138,52839,33700,404340,72867,-,-,24365,123811,149316
Massachusetts,656614,284257,374616,186413,392664,77606,419184,85615,2967,44447,243,80325,27939,167706,344032,110652,117629,75917,60025,527999,127899,-,-,22926,170866,222092
Michigan,1439564,646443,795764,488327,849537,105957,882289,427257,12726,32435,549,37586,50459,109073,825564,194856,264617,199005,62134,1344361,104083,-,-,67789,374609,462690
Minnesota,542625,246385,296591,170549,319698,52000,364089,85642,19168,33763,295,16387,20994,54436,331130,67233,93201,73406,30217,466425,73731,-,-,31378,173269,134493
Mississippi,603217,258546,345711,225561,326531,52508,214305,369145,3493,4108,82,6392,6752,16876,206225,116939,96300,64421,16313,590319,12594,-,-,40874,114928,193865
Missouri,804243,355019,448273,270043,460739,71962,557255,181199,4840,12957,1001,14913,27786,46752,529737,128644,145097,95716,35046,763609,39070,-,-,48457,212111,226104
Montana,137665,63598,74069,41998,84048,11978,108513,1124,21280,955,29,1621,4664,6895,104775,13381,24793,21426,9429,134999,3511,-,-,9704,44504,34381
Nebraska,205875,90744,115342,68680,118097,19608,152688,23957,5673,3428,539,10584,8647,33893,133603,23771,33204,28894,9898,185432,21468,-,-,16963,64170,43588
