State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,18.8,16.9,20.6,27.3,17.6,10.7,13.7,31.2,18.5,14,16.8,38,25.6,33.6,13.1,30.9,16.4,12.3,4.4,18.7,23.7,24.3,17.8,4,24.2,34.1
Alaska,10.2,9.4,11,14.1,9.4,4.8,6.7,16.2,23.2,11.3,14.7,13.6,12.4,10.2,6.6,19,11.7,6.3,2.7,10.2,10.3,14.3,9.8,1.5,12.9,24.1
Arizona,18.2,17.2,19.2,26,17.5,8.8,15.9,24.1,38,13.6,28.8,29.7,19.6,28.1,11.3,32.1,17,11.2,5.4,17,25.6,21.4,17.8,4.2,22.8,35.5
Arkansas,19.3,17.7,20.8,27.6,18.1,10.5,15.9,33.7,24,13.6,38,31.4,27.9,32.2,14.9,29.4,16.4,12.9,4.4,19,24.6,24.5,18.2,4.4,26.1,35.5
California,16.3,15.2,17.4,22.5,15.1,10.3,14.7,24.7,23.4,11.9,17.1,24.6,15.8,22.7,10.3,26,15.7,11,5.3,15.6,18.2,21.4,15.7,3.5,18.9,31.1
Colorado,12.7,11.8,13.6,16.6,12.2,7.4,11.2,24,24.3,12,14.6,26.3,15.7,22.3,9,24.9,12.3,9.2,4.5,11.9,19.3,18.9,12,2.5,19.4,27.4
Connecticut,10.5,9.5,11.5,14.3,10,7.1,7.8,21.1,21.3,7.8,11.4,28.8,18.2,25.7,6,24,10.9,7.9,3.3,10.3,11.9,18.1,9.6,1.3,13.1,27.2
Delaware,12,10.6,13.3,17.5,11.4,6.8,9.3,19,14,6,9.3,27.2,21.6,25.3,8,23,11.3,7.8,3.4,11.9,13.2,16.6,11.4,2,16.7,27.1
Florida,16.5,15.4,17.6,24.1,15.9,10.3,14,27.5,23.7,12.5,22.4,25.8,19.5,21.6,11.5,28.3,16.1,11.2,5.9,15.9,19.3,21,15.9,3.5,21.4,32.8
Georgia,18.4,16.8,19.9,26,16.8,10.6,13.5,26.7,26.2,13.7,31,34.2,22,30.4,12,31.1,17.2,12.1,5,18.1,20.5,24.1,17.6,4.1,23.1,34
Hawaii,11.2,10.3,12.2,15.2,10.7,7.6,10.8,10.6,21.1,7,23.5,15,13.3,16.6,10.4,19,12.3,8.6,4.8,11,12.4,17,10.8,1.8,15.2,27.1
Idaho,15.5,14.4,16.5,19.2,15.4,8.5,14.6,26.1,30.2,15.6,26.8,30,24.3,25.9,13.5,23.8,14.1,11,5.5,15.1,22,21,14.7,3.9,22.6,29.4
Illinois,14.3,13.1,15.5,20.3,13.3,8.6,10.6,30.5,22.1,12,13,22.2,18.9,20.6,9.1,24.7,13.8,10.2,4.5,14.1,15.4,20.5,13.6,2.6,18.2,31
Indiana,15.4,13.9,16.8,21.9,14.6,7.3,12.7,31.9,23,20.7,27.5,32.9,26.7,29.3,12,26.7,12.1,10.5,4.1,15,23,21.4,14.4,2.9,21.6,31.5
