State,Total Population,Male,Female,Under 18,18 to 64,65 and up,White,Black,Native American,Asian,Pacific Islander,Other,Two or More,Hispanic/Latino,"White alone, not Hispanic",< High School,High School,Some College,>= Bachelor,Native,Foreign born,Disability,No Disability,Full-Time,Part-Time,No Work
Alabama,4754288,2289937,2464351,1079773,2889149,785366,3251294,1251793,24860,64928,2174,69391,89848,203804,3129248,437862,999103,982242,842110,4584836,169452,778625,3964400,1486313,662744,865993
Alaska,719376,372315,347061,180498,457737,81141,466403,22598,106217,45381,8938,10938,58901,50027,438171,33484,131148,167483,141257,662447,56929,86602,620549,230838,153558,92189
Arizona,6891224,3394227,3496997,1607888,4088256,1195080,5336361,302474,308309,229030,13334,446444,255272,2156773,3782642,586103,1103773,1574110,1388296,5965187,926037,898730,5977604,2140387,1063745,1068133
Arkansas,2910954,1419240,1491714,691151,1737277,482526,2239632,437294,19782,44648,8584,82163,78851,220161,2113131,259276,664229,584695,459435,2768208,142746,508541,2398270,925261,403045,487501
California,38535926,19053342,19482584,8886177,24259418,5390331,23043534,2175391,295088,5608673,151496,5384432,1877312,15060744,14341297,4314974,5318997,7554682,8947304,28090609,10445317,4084649,34373644,12328765,6675025,6266466
Colorado,5489133,2745495,2743638,1243650,3487309,758174,4615542,222764,51872,174827,8339,214125,201664,1180446,3744133,305308,790008,1115177,1559392,4949748,539385,581654,4884812,1988561,997596,639557
Connecticut,3470087,1689123,1780964,734377,2155137,580573,2641710,366651,9555,156268,1059,180039,114805,560489,2324845,223173,649891,600451,970917,2957309,512778,391027,3073909,1181689,622870,443099
Delaware,930764,448308,482456,199255,561367,170142,643034,202643,3680,36526,526,17916,26439,86101,582769,63303,205070,177329,213449,840380,90384,118589,809043,314499,143602,126275
Florida,20481252,9950075,10531177,4115878,12228633,4136741,15431746,3238898,57353,564177,12446,616842,559790,5275080,11051690,1699844,4183847,4403050,4454036,16193742,4287510,2761900,17673884,6526111,3021308,3158066
Georgia,10130335,4886965,5243370,2468726,6284959,1376650,5967320,3172360,36391,405108,6071,285105,257980,969358,5366485,844933,1858607,1910656,2149302,9094672,1035663,1256464,8838655,3461938,1507366,1601428
Hawaii,1384184,688337,695847,298619,836217,249348,339716,23477,3451,529139,139220,16054,333127,143753,299404,77416,265162,310946,325612,1126463,257721,153584,1201650,486390,206715,174527
Idaho,1686285,841841,844444,434682,991002,260601,1517970,11168,22150,23836,2634,58979,49548,210454,1384242,100389,298381,395234,306646,1585249,101036,228560,1454026,517088,309462,214365
Illinois,12474842,6099078,6375764,2852051,7745048,1877743,8944008,1736570,32478,685046,4336,751579,320825,2150592,7665980,895304,2196960,2450949,2995616,10697966,1776876,1382101,11083007,4268997,2081847,1727522
Indiana,6461389,3171090,3290299,1537209,3936593,987587,5396598,598760,14998,143135,2399,142716,162783,449576,5122295,473958,1440141,1265626,1163812,6122192,339197,890759,5567228,2183306,1061674,869951
Iowa,3040184,1506216,1533968,715270,1822237,502677,2740889,108368,11445,73945,3634,38169,63734,182696,2609149,158332,629704,672982,594282,2877702,162482,358587,2679967,1102269,503982,296644
Kansas,2826056,1400377,1425679,699136,1696149,430771,2391228,159562,22345,83824,2295,70613,96189,336751,2150489,163937,476378,593103,630817,2621933,204123,368433,2444496,996922,459038,318581
Kentucky,4309501,2110689,2198812,985238,2636922,687341,3758277,338665,8894,63918,3015,41395,95337,156645,3654963,396102,966832,864278,726967,4141098,168403,757070,3544583,1362548,666621,720101
Louisiana,4532714,2189627,2343087,1087359,2768184,677171,2830510,1441178,25726,79296,1360,62422,92222,230616,2678658,433723,1029022,835297,748526,4343913,188801,692852,3826904,1419213,660585,808792
Maine,1298787,634209,664578,245283,793889,259615,1227750,17066,8414,14008,396,3338,27815,20768,1213537,69163,301052,283038,308224,1252598,46189,208975,1088066,430350,235569,158359
Maryland,5876434,2832793,3043641,1321245,3675913,879276,3271999,1744131,16195,372214,2800,267628,201467,593890,2997628,390851,993272,1038156,1656227,4972574,903860,649296,5203995,2176724,918878,728709
Massachusetts,6615375,3209785,3405590,1350618,4193787,1070970,5176270,500265,14267,429932,2584,278369,213688,783134,4745546,426908,1121549,1089687,2076374,5495130,1120245,776240,5834393,2339951,1227613,792275
Michigan,9741628,4775460,4966168,2136920,5976683,1628025,7662909,1323010,51534,303543,2988,115932,281712,494841,7334927,605691,1923312,2212030,1976141,9068370,673258,1394836,8342769,3054544,1731846,1449733
Minnesota,5440087,2707140,2732947,1273488,3338005,828594,4515011,344015,54201,262482,2140,102432,159806,291997,4352869,248727,904620,1209580,1353009,4974977,465110,593434,4844140,1965774,1018172,495840
Mississippi,2886767,1386131,1500636,701910,1737164,447693,1695243,1080999,13788,28663,615,28327,39132,85370,1645175,287290,582436,623746,432443,2821216,65551,476924,2401932,881264,392115,545925
Missouri,5922570,2892043,3030527,1351348,3601816,969406,4878504,668380,25869,117359,7769,69596,155093,247303,4717617,397577,1229955,1231045,1204953,5672420,250150,869004,5043393,2025801,940116,791932
Montana,1025221,514394,510827,222733,616505,185983,909938,4826,63607,7956,785,6783,31326,38840,885167,44542,203608,233867,230758,1002885,22336,140515,882301,328799,195542,116606
Nebraska,1859691,925975,933716,464544,1112989,282158,1622531,87770,16874,44090,1217,38751,48458,202207,1471862,102717,317816,412027,397139,1724789,134902,217288,1636898,693074,302930,167306
Nevada,2929882,1462272,1467610,669279,1807774,452829,1925634,262137,37082,240883,19652,300591,143903,841817,1444794,266493,565681,684768,504267,2356236,573646,368406,2554025,970612,471671,439833
New Hampshire,1305013,646041,658972,254545,822785,227683,1215131,19373,1935,34673,415,7174,26312,47809,1179661,63048,256988,272125,353938,1224876,80137,169090,1134319,483184,235056,137675
New Jersey,8706202,4233984,4472218,1938462,5396590,1371150,5918338,1148640,19292,825140,3311,552247,239234,1767004,4834659,604929,1629976,1394663,2432198,6730879,1975323,904648,7793938,3020105,1414055,1190513
New Mexico,2049986,1007024,1042962,480547,1221895,347544,1537224,41043,196156,31974,1601,175498,66490,999910,768652,194672,364387,439622,382271,1856978,193008,314630,1727414,603303,314580,360590
New York,19063180,9224129,9839051,4031379,11980002,3051799,12153073,2951917,76930,1611711,8324,1662985,598240,3635757,10615281,1738871,3458023,3274549,4962602,14703956,4359224,2211713,16834537,6439910,3101301,2903348
North Carolina,9984891,4828486,5156405,2261398,6135778,1587715,6881592,2116769,120328,285786,6630,311206,262580,940295,6320337,824047,1752407,2129119,2172994,9173282,811609,1346571,8579495,3327387,1566035,1505103
North Dakota,732326,374324,358002,172678,452891,106757,634670,20941,38481,10669,856,7670,19039,27030,619420,33841,127195,176743,147851,702367,29959,80537,646622,278185,128653,63093
Ohio,11331030,5532724,5798306,2557905,6900741,1872384,9237810,1383521,21988,250615,3714,110215,323167,430131,8966775,728754,2569435,2284113,2242646,10807252,523778,1595202,9727953,3779989,1904587,1519806
Oklahoma,3817368,1877779,1939589,938999,2293347,585022,2769549,269090,290920,82671,5969,103800,295369,405533,2514217,295863,787423,792891,657352,3587240,230128,615855,3189469,1254539,558271,583700
Oregon,4052019,2001677,2050342,850452,2502634,698933,3421718,75043,45975,177412,16200,123925,191746,526253,3072759,263454,647036,982984,972054,3649188,402831,584039,3465072,1270348,774072,556471
Pennsylvania,12380284,6036574,6343710,2613746,7564304,2202234,10011082,1349724,23331,420910,4013,266282,304942,901112,9505299,806807,3014854,2154845,2800053,11518441,861843,1745918,10628075,4216388,2008717,1647120
Rhode Island,1016506,494769,521737,204045,641467,170994,819405,68128,5057,33579,787,56252,33298,158626,732352,78942,204264,191746,250320,875730,140776,137624,876722,349309,180331,137544
South Carolina,4877884,2347554,2530330,1082954,2949103,845827,3289469,1294899,17259,76427,3645,86379,109806,275281,3120556,412082,981580,1033438,964571,4630747,247137,713443,4146235,1592333,727228,753664
South Dakota,841207,423225,417982,209165,496962,135080,711430,16344,71990,12262,463,6952,21766,31391,692136,44138,167556,184153,163952,810096,31111,101498,737613,304484,136205,78294
Tennessee,6542792,3177118,3365674,1478676,4017346,1046770,5090700,1081832,17562,114994,3545,90875,143284,356652,4842291,548621,1439368,1271907,1249005,6203775,339017,1011267,5514309,2178088,985768,1024945
Texas,27637858,13619717,14018141,7252934,17007567,3377357,20491841,3287349,137561,1340749,24469,1615385,740504,10919515,11602306,2855438,4394920,5146700,5397920,22881889,4755969,3175240,24401581,9498079,4096361,4221122
Utah,3048871,1530130,1518741,912294,1806720,329857,2637715,35506,32833,70505,27133,153216,91963,427168,2390882,137701,410025,639363,617904,2790244,258627,293566,2751443,968100,578489,358344
Vermont,599618,295190,304428,114082,371672,113864,566150,7557,2071,9503,317,2130,11890,10688,558496,30916,124955,112604,166726,571965,27653,87961,511107,208436,112707,64876
Virginia,8201608,3999859,4201749,1836464,5119864,1245280,5565618,1548219,22691,531604,5659,218303,309514,768481,5089658,570783,1344891,1533076,2230590,7164787,1036821,961470,7158457,2963905,1290641,1073174
Washington,7266810,3621184,3645626,1617024,4552104,1097682,5487064,271285,90822,621384,47985,327037,421233,919516,4989465,433350,1103235,1678669,1830553,6220886,1045924,920636,6309662,2430038,1309111,992685
West Virginia,1765715,868583,897132,360192,1062230,343293,1650604,59182,3450,14172,403,7349,30555,26094,1631791,161755,507638,329218,263860,1737321,28394,348029,1416382,509145,251239,344639
Wisconsin,5642353,2796341,2846012,1257485,3458032,926836,4832795,351519,48924,157994,2294,116174,132653,384187,4598080,295626,1183214,1229115,1186560,5357665,284688,666414,4972916,2020366,999273,587141
Wyoming,566918,287879,279039,133753,344117,89048,519284,5123,13472,4842,571,8518,15108,55662,477587,25586,111038,141375,106343,547409,19509,74309,490322,197933,98336,62190
